part,order_batch,our_code,color_id,name_en,name_he,hex,role,status,gobricks_ref,bricklink_ref,notes,SUPPLIER_CODE,AVAILABLE_YN
3024,1 FIRST ORDER,A1,red,"Red","אדום",#c91a09,accent,Existing,4,,"",,
3024,1 FIRST ORDER,A10,medium-blue,"Medium Blue","כחול בינוני",#5a93db,accent,Existing,,,"",,
3024,1 FIRST ORDER,A11,bright-light-blue,"Bright Light Blue","תכלת",#9fc3e9,accent,Existing,212,,"",,
3024,1 FIRST ORDER,A12,medium-azure,"Medium Azure","טורקיז",#36aebf,accent,Existing,322,,"",,
3024,1 FIRST ORDER,A13,bright-pink,"Bright Pink","ורוד",#e4adc8,accent,Existing,,,"",,
3024,1 FIRST ORDER,A17,dark-purple,"Dark Purple","סגול כהה",#3f3691,accent,Existing,,,"",,
3024,1 FIRST ORDER,A3,orange,"Orange","כתום",#fe8a18,accent,Existing,25,,"",,
3024,1 FIRST ORDER,A4,yellow,"Yellow","צהוב",#f2cd37,accent,Existing,14,,"",,
3024,1 FIRST ORDER,A5,bright-green,"Bright Green","ירוק",#4b9f4a,accent,Existing,2,,"",,
3024,1 FIRST ORDER,A6,dark-green,"Dark Green","ירוק כהה",#237841,accent,Existing,288,,"",,
3024,1 FIRST ORDER,A8,blue,"Blue","כחול",#0055bf,accent,Existing,1,,"",,
3024,1 FIRST ORDER,A9,dark-blue,"Dark Blue","כחול כהה",#0a3463,accent,Existing,272,,"",,
3024,1 FIRST ORDER,K1,light-nougat,"Light Nougat","נוגט בהיר",#f6d7b3,skin,Existing,78,,"",,
3024,1 FIRST ORDER,K11,warm-nougat,"Warm Nougat","נוגט חם",#e59e6d,skin,NEW - match by hex,,,"between Light Nougat and Nougat",,
3024,1 FIRST ORDER,K12,taupe,"Taupe","טאופ",#9e7d5e,skin,NEW - match by hex,,,"greyish mid brown",,
3024,1 FIRST ORDER,K13,sienna,"Sienna","סיינה",#a65523,skin,NEW - match by hex,,,"close to LEGO Dark Orange",,
3024,1 FIRST ORDER,K14,deep-umber,"Deep Umber","חום עמוק",#693f23,skin,NEW - match by hex,,,"mid-dark brown",,
3024,1 FIRST ORDER,K15,coffee,"Coffee","חום קפה",#4e3524,skin,NEW - match by hex,,,"close to LEGO Brown",,
3024,1 FIRST ORDER,K2,nougat,"Nougat","נוגט",#cc8e69,skin,Existing,92,,"",,
3024,1 FIRST ORDER,K4,dark-tan,"Dark Tan","בז' כהה",#958a73,skin,Existing,28,,"",,
3024,1 FIRST ORDER,K5,tan,"Tan","בז'",#e4cd9e,skin,Existing,19,,"",,
3024,1 FIRST ORDER,K6,reddish-brown,"Reddish Brown","חום אדמדם",#582a12,skin,Existing,70,,"",,
3024,1 FIRST ORDER,K8,blush,"Blush","ורדרד בהיר",#ffd7c3,skin,NEW - match by hex,,,"very light pink-cream skin",,
3024,1 FIRST ORDER,K9,light-peach,"Light Peach","אפרסק בהיר",#f2ba93,skin,NEW - match by hex,,,"light warm skin",,
3024,1 FIRST ORDER,N1,white,"White","לבן",#f2f3f2,base,Existing,15,,"",,
3024,1 FIRST ORDER,N2,light-bluish-gray,"Light Bluish Gray","אפור בהיר",#a0a5a9,base,Existing,71,,"",,
3024,1 FIRST ORDER,N3,dark-bluish-gray,"Dark Bluish Gray","אפור כהה",#6c6e68,base,Existing,72,,"",,
3024,1 FIRST ORDER,N4,black,"Black","שחור",#1b1b1b,base,Existing,0,,"",,
3024,1 FIRST ORDER,N5,sand,"Sand","חול",#c2b280,base,Existing,,,"tan/sand family",,
3024,1 FIRST ORDER,N6,sand-blue,"Sand Blue","כחול חול",#5a748c,base,Added (standard),,55,"",,
3024,2 LATER,A14,dark-pink,"Dark Pink","ורוד כהה",#c870a0,accent,Existing,,,"",,
3024,2 LATER,A15,light-pink,"Light Pink","ורוד בהיר",#f6adc6,accent,Added (standard),,23,"",,
3024,2 LATER,A16,medium-lavender,"Medium Lavender","לבנדר",#ac78ba,accent,Added (standard),,157,"",,
3024,2 LATER,A2,dark-red,"Dark Red","אדום כהה",#720e0f,accent,Existing,320,,"",,
3024,2 LATER,A7,olive-green,"Olive Green","ירוק זית",#9b9a5a,accent,Added (standard),,155,"",,
3024,2 LATER,K10,peach,"Peach","אפרסק",#f0c4a0,skin,NEW - match by hex,,,"light-medium skin",,
3024,2 LATER,K3,medium-nougat,"Medium Nougat","נוגט בינוני",#aa7d55,skin,Existing,150,,"",,
3024,2 LATER,K7,dark-brown,"Dark Brown","חום כהה",#3b2412,skin,Existing,308,,"",,
3024,2 LATER,N7,sand-green,"Sand Green","ירוק חול",#7d9c86,base,Added (standard),,48,"",,
